Ride,Date-Time,Wait Time
Pirates of the Caribbean,2019-01-29 17:50,40
Pirates of the Caribbean,2019-01-29 18:00,35
Pirates of the Caribbean,2019-01-29 18:10,35
Pirates of the Caribbean,2019-01-29 18:20,30
Pirates of the Caribbean,2019-01-29 18:30,25
Pirates of the Caribbean,2019-01-29 18:40,30
Pirates of the Caribbean,2019-01-29 18:50,25
Pirates of the Caribbean,2019-01-29 19:00,20
Pirates of the Caribbean,2019-01-29 19:10,15
Pirates of the Caribbean,2019-01-29 19:20,10
Pirates of the Caribbean,2019-01-29 19:30,10
Pirates of the Caribbean,2019-01-29 19:40,10
Pirates of the Caribbean,2019-01-29 19:50,10
Pirates of the Caribbean,2019-01-29 20:00,10
Pirates of the Caribbean,2019-01-30 9:10,5
Pirates of the Caribbean,2019-01-30 9:20,10
Pirates of the Caribbean,2019-01-30 9:30,10
Pirates of the Caribbean,2019-01-30 9:40,5
Pirates of the Caribbean,2019-01-30 9:50,10
Pirates of the Caribbean,2019-01-30 10:00,5
Pirates of the Caribbean,2019-01-30 10:10,5
Pirates of the Caribbean,2019-01-30 10:20,10
Pirates of the Caribbean,2019-01-30 10:30,10
Pirates of the Caribbean,2019-01-30 10:40,15
Pirates of the Caribbean,2019-01-30 10:50,15
Pirates of the Caribbean,2019-01-30 11:00,50
Pirates of the Caribbean,2019-01-30 11:10,60
Pirates of the Caribbean,2019-01-30 11:20,55
Pirates of the Caribbean,2019-01-30 11:30,45
Pirates of the Caribbean,2019-01-30 11:40,35
Pirates of the Caribbean,2019-01-30 11:50,35
Pirates of the Caribbean,2019-01-30 12:00,20
Pirates of the Caribbean,2019-01-30 12:10,40
Pirates of the Caribbean,2019-01-30 12:20,50
Pirates of the Caribbean,2019-01-30 12:30,65
Pirates of the Caribbean,2019-01-30 12:40,40
Pirates of the Caribbean,2019-01-30 12:50,25
Pirates of the Caribbean,2019-01-30 13:00,30
Pirates of the Caribbean,2019-01-30 13:10,30
Pirates of the Caribbean,2019-01-30 13:20,30
Pirates of the Caribbean,2019-01-30 13:30,35
Pirates of the Caribbean,2019-01-30 13:40,40
Pirates of the Caribbean,2019-01-30 13:50,40
Pirates of the Caribbean,2019-01-30 14:00,25
Pirates of the Caribbean,2019-01-30 14:10,30
Pirates of the Caribbean,2019-01-30 14:20,30
Pirates of the Caribbean,2019-01-30 14:30,35
Pirates of the Caribbean,2019-01-30 14:40,40
Pirates of the Caribbean,2019-01-30 14:50,40
Pirates of the Caribbean,2019-01-30 15:00,35
Pirates of the Caribbean,2019-01-30 15:10,10
Pirates of the Caribbean,2019-01-30 15:20,10
Pirates of the Caribbean,2019-01-30 15:30,15
Pirates of the Caribbean,2019-01-30 15:40,30
Pirates of the Caribbean,2019-01-30 15:50,40
Pirates of the Caribbean,2019-01-30 16:00,35
Pirates of the Caribbean,2019-01-30 16:10,25
Pirates of the Caribbean,2019-01-30 16:20,25
Pirates of the Caribbean,2019-01-30 16:30,30
Pirates of the Caribbean,2019-01-30 16:40,25
Pirates of the Caribbean,2019-01-30 18:10,20
Pirates of the Caribbean,2019-01-30 18:20,20
Pirates of the Caribbean,2019-01-30 18:30,20
Pirates of the Caribbean,2019-01-30 18:40,30
Pirates of the Caribbean,2019-01-30 18:50,30
Pirates of the Caribbean,2019-01-30 19:00,25
Pirates of the Caribbean,2019-01-30 19:10,25
Pirates of the Caribbean,2019-01-30 19:20,20
Pirates of the Caribbean,2019-01-30 19:30,20
Pirates of the Caribbean,2019-01-30 19:40,15
Pirates of the Caribbean,2019-01-30 19:50,5
Pirates of the Caribbean,2019-01-30 20:00,5
Pirates of the Caribbean,2019-01-30 20:10,5
Pirates of the Caribbean,2019-01-30 20:20,10
Pirates of the Caribbean,2019-01-30 20:30,10
Pirates of the Caribbean,2019-01-30 20:40,10
Pirates of the Caribbean,2019-01-30 20:50,5
Pirates of the Caribbean,2019-01-30 21:00,10
Pirates of the Caribbean,2019-01-30 21:10,10
Pirates of the Caribbean,2019-01-30 21:20,10
Pirates of the Caribbean,2019-01-30 21:30,10
Pirates of the Caribbean,2019-01-30 21:40,10
Pirates of the Caribbean,2019-01-30 21:50,10
Pirates of the Caribbean,2019-01-30 22:00,10
Pirates of the Caribbean,2019-01-31 9:10,10
Pirates of the Caribbean,2019-01-31 9:20,15
Pirates of the Caribbean,2019-01-31 9:30,15
Pirates of the Caribbean,2019-01-31 9:40,15
Pirates of the Caribbean,2019-01-31 9:50,35
Pirates of the Caribbean,2019-01-31 10:00,10
Pirates of the Caribbean,2019-01-31 10:10,10
Pirates of the Caribbean,2019-01-31 10:20,20
Pirates of the Caribbean,2019-01-31 10:30,35
Pirates of the Caribbean,2019-01-31 10:40,50
Pirates of the Caribbean,2019-01-31 10:50,45
Pirates of the Caribbean,2019-01-31 11:00,50
Pirates of the Caribbean,2019-01-31 11:10,55
Pirates of the Caribbean,2019-01-31 11:20,55
Pirates of the Caribbean,2019-01-31 11:30,50
Pirates of the Caribbean,2019-01-31 11:40,50
Pirates of the Caribbean,2019-01-31 11:50,25
Pirates of the Caribbean,2019-01-31 12:00,25
Pirates of the Caribbean,2019-01-31 12:10,35
Pirates of the Caribbean,2019-01-31 12:20,40
Pirates of the Caribbean,2019-01-31 12:30,30
Pirates of the Caribbean,2019-01-31 12:40,30
Pirates of the Caribbean,2019-01-31 12:50,35
Pirates of the Caribbean,2019-01-31 13:00,50
Pirates of the Caribbean,2019-01-31 13:10,35
Pirates of the Caribbean,2019-01-31 13:20,35
Pirates of the Caribbean,2019-01-31 13:30,40
Pirates of the Caribbean,2019-01-31 13:40,45
Pirates of the Caribbean,2019-01-31 13:50,35
Pirates of the Caribbean,2019-01-31 14:00,30
Pirates of the Caribbean,2019-01-31 14:10,30
Pirates of the Caribbean,2019-01-31 14:20,35
Pirates of the Caribbean,2019-01-31 14:30,35
Pirates of the Caribbean,2019-01-31 14:40,35
Pirates of the Caribbean,2019-01-31 14:50,35
Pirates of the Caribbean,2019-01-31 15:00,35
Pirates of the Caribbean,2019-01-31 15:10,35
Pirates of the Caribbean,2019-01-31 15:20,25
Pirates of the Caribbean,2019-01-31 15:30,15
Pirates of the Caribbean,2019-01-31 15:40,35
Pirates of the Caribbean,2019-01-31 15:50,35
Pirates of the Caribbean,2019-01-31 16:00,35
Pirates of the Caribbean,2019-01-31 16:10,45
Pirates of the Caribbean,2019-01-31 16:20,45
Pirates of the Caribbean,2019-01-31 16:30,35
Pirates of the Caribbean,2019-01-31 16:40,35
Pirates of the Caribbean,2019-01-31 16:50,40
Pirates of the Caribbean,2019-01-31 17:00,35
Pirates of the Caribbean,2019-01-31 17:10,35
Pirates of the Caribbean,2019-01-31 17:20,40
Pirates of the Caribbean,2019-01-31 17:30,35
Pirates of the Caribbean,2019-01-31 17:40,25
Pirates of the Caribbean,2019-01-31 17:50,20
Pirates of the Caribbean,2019-01-31 18:00,30
Pirates of the Caribbean,2019-01-31 18:10,35
Pirates of the Caribbean,2019-01-31 18:20,30
Pirates of the Caribbean,2019-01-31 18:30,25
Pirates of the Caribbean,2019-01-31 18:40,25
Pirates of the Caribbean,2019-01-31 18:50,20
Pirates of the Caribbean,2019-01-31 19:00,20
Pirates of the Caribbean,2019-01-31 19:10,10
Pirates of the Caribbean,2019-01-31 19:20,5
Pirates of the Caribbean,2019-01-31 19:30,5
Pirates of the Caribbean,2019-01-31 19:40,5
Pirates of the Caribbean,2019-01-31 19:50,5
Pirates of the Caribbean,2019-01-31 20:00,5
Pirates of the Caribbean,2020-01-01 9:25,10
Pirates of the Caribbean,2020-01-01 9:30,10
Pirates of the Caribbean,2020-01-01 9:35,10
Pirates of the Caribbean,2020-01-01 9:40,10
Pirates of the Caribbean,2020-01-01 9:45,15
Pirates of the Caribbean,2020-01-01 9:50,20
Pirates of the Caribbean,2020-01-01 9:55,30
Pirates of the Caribbean,2020-01-01 10:00,35
Pirates of the Caribbean,2020-01-01 10:05,35
Pirates of the Caribbean,2020-01-01 10:15,25
Pirates of the Caribbean,2020-01-01 10:20,30
Pirates of the Caribbean,2020-01-01 10:25,35
Pirates of the Caribbean,2020-01-01 10:30,40
Pirates of the Caribbean,2020-01-01 10:35,40
Pirates of the Caribbean,2020-01-01 10:40,25
Pirates of the Caribbean,2020-01-01 10:45,25
Pirates of the Caribbean,2020-01-01 10:50,40
Pirates of the Caribbean,2020-01-01 10:55,55
Pirates of the Caribbean,2020-01-01 11:00,60
Pirates of the Caribbean,2020-01-01 11:05,45
Pirates of the Caribbean,2020-01-01 11:10,50
Pirates of the Caribbean,2020-01-01 11:15,50
Pirates of the Caribbean,2020-01-01 11:20,45
Pirates of the Caribbean,2020-01-01 11:25,45
